,BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,XRPUSDT
2024-03-03,63113.97,3487.81,130.16,414.5,0.6271
2024-03-04,68245.71,3627.76,133.27,418.4,0.6477
2024-03-05,63724.01,3553.65,125.31,394.1,0.5912
2024-03-06,66074.04,3818.59,130.79,429.4,0.6121
2024-03-07,66823.17,3868.76,143.82,474.6,0.627
2024-03-08,68124.19,3883.36,144.79,485.8,0.62
2024-03-09,68313.27,3905.21,144.29,488.3,0.6197
2024-03-10,68955.88,3878.47,144.39,528.9,0.608
2024-03-11,72078.1,4064.8,148.83,523.0,0.723
2024-03-12,71452.01,3979.96,151.05,537.5,0.688
2024-03-13,73072.41,4004.79,163.9,630.5,0.6891
2024-03-14,71388.94,3881.7,176.65,603.2,0.669
2024-03-15,69499.85,3742.19,183.95,632.7,0.6342
2024-03-16,65300.63,3523.09,182.05,576.4,0.6031
2024-03-17,68393.48,3644.71,201.86,571.7,0.6191
2024-03-18,67609.99,3520.46,195.92,555.4,0.6453
2024-03-19,61937.4,3158.64,169.82,507.7,0.5845
2024-03-20,67840.51,3516.53,191.77,556.8,0.6107
2024-03-21,65501.27,3492.85,179.46,553.8,0.6404
2024-03-22,63796.64,3336.35,175.21,553.8,0.6115
2024-03-23,63990.01,3329.53,172.65,551.9,0.6167
2024-03-24,67209.99,3454.98,183.88,567.7,0.6325
2024-03-25,69880.01,3590.42,188.99,587.0,0.6406
2024-03-26,69988.0,3587.33,190.46,580.4,0.6317
2024-03-27,69469.99,3501.19,186.33,574.3,0.6118
2024-03-28,70780.6,3560.49,189.63,583.4,0.6244
2024-03-29,69850.54,3509.74,192.01,612.5,0.6301
2024-03-30,69582.18,3505.64,194.2,600.7,0.6212
2024-03-31,71280.01,3645.29,202.45,606.7,0.6292
2024-04-01,69649.8,3503.8,192.24,575.8,0.611
2024-04-02,65463.99,3278.96,181.53,551.4,0.5854
2024-04-03,65963.28,3310.83,185.05,561.5,0.5742
2024-04-04,68487.79,3327.4,184.0,585.5,0.5935
2024-04-05,67820.62,3317.85,174.37,577.8,0.5871
2024-04-06,68896.0,3351.59,178.68,585.4,0.593
2024-04-07,69360.39,3454.2,179.52,583.9,0.5944
2024-04-08,71620.0,3694.61,180.68,586.4,0.6147
2024-04-09,69146.0,3506.39,172.42,580.5,0.6141
2024-04-10,70631.08,3545.64,173.31,609.7,0.6172
2024-04-11,70006.23,3502.52,172.37,604.6,0.6086
2024-04-12,67116.52,3237.43,153.16,595.6,0.5468
2024-04-13,63924.51,3007.01,138.47,553.1,0.4788
2024-04-14,65661.84,3155.11,151.25,566.4,0.5033
2024-04-15,63419.99,3101.99,138.51,552.7,0.4977
2024-04-16,63793.39,3084.22,136.22,537.6,0.4965
2024-04-17,61277.37,2985.41,131.84,534.1,0.4951
2024-04-18,63470.08,3064.4,142.07,552.1,0.5025
2024-04-19,63818.01,3056.46,142.5,554.0,0.503
2024-04-20,64940.59,3155.79,151.22,570.9,0.5288
2024-04-21,64941.15,3147.67,148.8,579.6,0.5246
2024-04-22,66819.32,3200.2,156.95,604.5,0.556
2024-04-23,66414.0,3219.46,154.75,606.2,0.5445
2024-04-24,64289.59,3140.8,147.78,608.8,0.5275
2024-04-25,64498.34,3155.8,144.84,613.2,0.5254
2024-04-26,63770.01,3131.3,139.23,598.0,0.5261
2024-04-27,63461.98,3255.56,141.31,596.2,0.5179
2024-04-28,63118.62,3263.45,137.99,600.2,0.5103
2024-04-29,63866.0,3216.73,137.77,592.8,0.5151
2024-04-30,60672.0,3014.05,126.77,578.4,0.5006
2024-05-01,58364.97,2972.46,134.64,561.8,0.5175
2024-05-02,59060.61,2986.19,137.58,560.5,0.518
2024-05-03,62882.01,3102.61,143.69,587.0,0.5317
2024-05-04,63892.04,3117.23,146.05,585.7,0.5302
2024-05-05,64012.0,3136.41,145.73,592.0,0.5296
2024-05-06,63165.19,3062.6,152.82,588.2,0.5402
2024-05-07,62312.08,3005.69,148.03,576.5,0.5245
2024-05-08,61193.03,2974.21,142.18,588.6,0.5171
2024-05-09,63074.01,3036.23,152.57,596.8,0.5209
2024-05-10,60799.99,2909.99,146.01,585.6,0.5022
2024-05-11,60825.99,2912.45,145.42,592.2,0.5059
2024-05-12,61483.99,2929.29,143.43,594.8,0.4993
2024-05-13,62940.08,2950.99,147.54,591.7,0.5053
2024-05-14,61577.49,2881.93,142.03,567.1,0.5002
2024-05-15,66206.5,3032.55,158.52,581.0,0.5188
2024-05-16,65235.21,2944.7,159.37,569.2,0.5157
2024-05-17,67024.0,3092.01,169.44,580.9,0.5234
2024-05-18,66915.2,3122.94,172.4,580.3,0.5213
2024-05-19,66274.01,3071.19,169.93,574.5,0.5096
2024-05-20,71446.62,3661.78,186.7,599.6,0.5377
2024-05-21,70148.34,3789.6,178.15,618.5,0.537
2024-05-22,69166.62,3737.73,176.95,614.8,0.5268
2024-05-23,67969.65,3783.61,176.16,599.3,0.5289
2024-05-24,68549.99,3728.28,167.7,600.3,0.536
2024-05-25,69290.57,3749.26,168.35,602.4,0.5416
2024-05-26,68507.67,3826.47,163.41,600.2,0.5283
2024-05-27,69436.43,3894.22,170.15,603.9,0.534
2024-05-28,68398.39,3844.69,168.68,601.7,0.5287
2024-05-29,67652.42,3767.43,168.32,595.7,0.5238
2024-05-30,68352.17,3747.91,166.88,595.1,0.5186
2024-05-31,67540.01,3762.29,165.65,593.7,0.5176
2024-06-01,67766.85,3815.82,166.14,601.9,0.5187
2024-06-02,67765.63,3780.91,163.15,602.9,0.5135
2024-06-03,68809.9,3767.06,164.89,626.4,0.5199
2024-06-04,70537.84,3810.23,171.78,685.7,0.5257
2024-06-05,71108.0,3865.99,173.54,698.8,0.5258
2024-06-06,70799.06,3813.46,170.15,711.2,0.5215
2024-06-07,69355.6,3678.32,162.5,684.0,0.4991
2024-06-08,69310.46,3681.57,157.83,682.7,0.4926
2024-06-09,69648.14,3706.4,162.12,673.0,0.4986
2024-06-10,69540.0,3667.85,159.05,625.1,0.4969
2024-06-11,67314.24,3497.33,149.31,602.5,0.4802
2024-06-12,68263.99,3560.12,155.22,619.4,0.4916
2024-06-13,66773.01,3469.4,147.29,599.8,0.4769
2024-06-14,66043.99,3481.8,143.05,603.3,0.4746
2024-06-15,66228.25,3568.74,145.52,608.2,0.4908
2024-06-16,66676.87,3624.41,151.3,610.8,0.4891
2024-06-17,66504.33,3511.46,143.27,604.3,0.5047
2024-06-18,65175.32,3483.42,137.41,588.6,0.491
2024-06-19,64974.37,3560.51,135.62,599.3,0.4933
2024-06-20,64869.99,3513.08,133.55,587.7,0.4888
2024-06-21,64143.56,3518.5,134.6,586.1,0.4889
2024-06-22,64262.01,3495.75,133.69,591.1,0.4866
2024-06-23,63210.01,3420.91,128.69,577.5,0.4797
2024-06-24,60293.3,3352.73,132.33,568.1,0.474
2024-06-25,61806.01,3394.91,136.58,578.2,0.4757
2024-06-26,60864.99,3371.44,136.81,573.0,0.4698
2024-06-27,61706.47,3450.44,149.71,581.7,0.4753
2024-06-28,60427.84,3380.15,140.03,567.4,0.4716
2024-06-29,60986.68,3378.8,140.28,570.0,0.4727
2024-06-30,62772.01,3438.16,146.61,582.2,0.4761
2024-07-01,62899.99,3442.2,146.67,576.9,0.477
2024-07-02,62135.47,3421.35,154.03,580.1,0.4853
2024-07-03,60208.58,3295.48,140.84,556.7,0.4672
2024-07-04,57050.01,3059.7,127.86,513.6,0.4329
2024-07-05,56628.79,2981.78,134.32,497.7,0.4251
2024-07-06,58230.13,3066.83,143.05,526.0,0.4488
2024-07-07,55857.81,2931.0,131.64,490.7,0.4195
2024-07-08,56714.62,3019.01,139.81,510.6,0.4316
2024-07-09,58050.0,3066.65,141.42,516.9,0.4356
2024-07-10,57725.85,3101.05,141.98,524.7,0.4388
2024-07-11,57339.89,3099.57,135.73,524.8,0.4491
2024-07-12,57889.1,3133.88,139.46,533.8,0.4745
2024-07-13,59204.02,3175.93,141.9,532.4,0.5257
2024-07-14,60797.91,3245.08,147.66,544.8,0.5205
2024-07-15,64724.14,3483.39,159.38,585.3,0.5372
2024-07-16,65043.99,3444.13,160.62,576.2,0.5793
2024-07-17,64087.99,3387.05,155.5,568.9,0.626
2024-07-18,63987.92,3426.5,159.22,571.9,0.5697
2024-07-19,66660.0,3503.53,169.13,593.4,0.5733
2024-07-20,67139.96,3517.5,173.6,593.1,0.5937
2024-07-21,68165.34,3535.92,184.49,602.5,0.5984
2024-07-22,67532.01,3439.6,178.9,587.2,0.608
2024-07-23,65936.01,3482.51,173.03,581.9,0.5975
2024-07-24,65376.0,3335.81,178.06,574.9,0.6179
2024-07-25,65799.95,3175.48,171.85,570.6,0.5996
2024-07-26,67907.99,3274.61,183.06,580.9,0.6034
2024-07-27,67896.5,3249.01,183.92,581.6,0.5956
2024-07-28,68249.88,3270.16,184.9,583.9,0.6012
2024-07-29,66784.69,3317.66,182.57,574.3,0.6019
2024-07-30,66188.0,3279.21,179.16,588.2,0.6277
2024-07-31,64628.0,3232.74,171.71,576.5,0.623
2024-08-01,65354.02,3203.4,167.37,575.1,0.5964
2024-08-02,61498.33,2989.61,152.77,542.9,0.5607
2024-08-03,60697.99,2903.64,142.52,529.6,0.5558
2024-08-04,58161.0,2688.92,138.33,496.9,0.5228
2024-08-05,54018.81,2419.59,129.78,464.2,0.4889
2024-08-06,56022.01,2461.33,144.4,484.8,0.5062
2024-08-07,55134.16,2342.8,144.77,475.0,0.6002
2024-08-08,61685.99,2682.5,163.13,517.1,0.6166
2024-08-09,60837.99,2598.78,156.28,508.7,0.5805
2024-08-10,60923.51,2609.92,154.01,523.1,0.5841
2024-08-11,58712.59,2555.38,141.57,503.4,0.5528
2024-08-12,59346.64,2722.3,146.29,518.2,0.5684
2024-08-13,60587.15,2702.44,146.65,524.2,0.577
2024-08-14,58683.39,2661.45,143.71,523.4,0.5687
2024-08-15,57541.06,2569.89,142.58,519.2,0.5607
2024-08-16,58874.6,2592.73,139.04,519.7,0.5638
2024-08-17,59491.99,2614.51,141.93,541.6,0.5665
2024-08-18,58427.35,2612.15,142.42,531.2,0.5631
2024-08-19,59438.5,2636.36,144.29,558.4,0.5985
2024-08-20,59013.8,2572.82,142.27,569.4,0.5937
2024-08-21,61156.03,2630.71,142.79,570.1,0.5999
2024-08-22,60375.84,2622.88,143.22,582.9,0.5976
2024-08-23,64037.24,2762.48,153.26,591.7,0.6109
2024-08-24,64157.01,2768.0,160.67,580.5,0.6127
2024-08-25,64220.0,2746.13,158.92,573.9,0.6
2024-08-26,62834.0,2680.49,157.12,548.2,0.5874
2024-08-27,59415.0,2457.33,146.79,533.3,0.5666
2024-08-28,59034.9,2528.33,143.95,537.0,0.5693
2024-08-29,59359.01,2527.61,140.0,536.4,0.5619
2024-08-30,59123.99,2526.0,137.99,535.2,0.5667
2024-08-31,58973.99,2513.01,135.35,532.9,0.5662
2024-09-01,57301.86,2425.72,128.5,512.4,0.5472
2024-09-02,59132.13,2538.01,134.94,526.3,0.5677
2024-09-03,57487.73,2425.29,127.54,518.7,0.5572
2024-09-04,57970.9,2450.71,133.64,507.6,0.5579
2024-09-05,56180.0,2368.81,129.41,502.4,0.5444
2024-09-06,53962.97,2225.23,125.05,487.2,0.5211
2024-09-07,54160.86,2273.58,127.71,493.5,0.5248
2024-09-08,54869.95,2297.3,130.15,503.1,0.5295
2024-09-09,57042.0,2359.5,135.08,518.7,0.5395
2024-09-10,57635.99,2388.52,135.63,517.0,0.5408
2024-09-11,57338.0,2340.55,132.42,530.1,0.5348
2024-09-12,58132.32,2361.76,136.05,544.5,0.5626
2024-09-13,60498.0,2439.19,139.02,556.4,0.5728
2024-09-14,59993.03,2417.79,137.14,553.3,0.5956
2024-09-15,59132.0,2316.1,131.37,553.4,0.5706
2024-09-16,58213.99,2295.68,131.47,533.7,0.5866
2024-09-17,60313.99,2341.8,131.54,546.2,0.5839
2024-09-18,61759.99,2374.75,134.34,559.5,0.5852
2024-09-19,62947.99,2465.21,142.89,567.0,0.5868
2024-09-20,63201.05,2561.4,146.66,569.0,0.5851
2024-09-21,63348.96,2612.4,149.41,588.6,0.5976
2024-09-22,63578.76,2581.0,144.63,588.7,0.5871
2024-09-23,63339.99,2646.97,144.79,604.5,0.5847
2024-09-24,64262.7,2653.2,152.73,605.9,0.5911
2024-09-25,63152.01,2579.95,147.98,587.4,0.5831
2024-09-26,65173.99,2632.26,155.55,596.3,0.5905
2024-09-27,65769.95,2694.43,157.64,606.8,0.5888
2024-09-28,65858.0,2675.21,156.75,601.1,0.6138
2024-09-29,65602.01,2657.62,158.46,595.6,0.6412
2024-09-30,63327.59,2602.23,152.49,567.4,0.6114
2024-10-01,60805.78,2447.79,145.13,547.3,0.5967
2024-10-02,60649.28,2364.1,140.18,542.5,0.5383
2024-10-03,60752.71,2349.8,136.82,544.8,0.5217
2024-10-04,62086.0,2414.41,143.24,555.3,0.534
2024-10-05,62058.0,2414.66,142.59,563.0,0.5294
2024-10-06,62819.91,2440.03,146.48,570.3,0.5336
2024-10-07,62224.0,2422.71,143.96,564.3,0.5286
2024-10-08,62160.49,2440.89,143.49,580.8,0.531
2024-10-09,60636.02,2370.47,139.33,570.7,0.5245
2024-10-10,60326.39,2386.49,139.03,563.9,0.5305
2024-10-11,62540.0,2439.5,145.53,573.6,0.5388
2024-10-12,63206.22,2476.4,146.4,576.6,0.5393
2024-10-13,62870.02,2468.91,147.74,572.2,0.5321
2024-10-14,66083.99,2629.79,157.59,589.1,0.5483
2024-10-15,67074.14,2607.41,154.76,594.5,0.5417
2024-10-16,67620.01,2611.1,154.28,600.9,0.5482
2024-10-17,67421.78,2605.8,150.5,592.9,0.5441
2024-10-18,68428.0,2642.17,154.94,599.2,0.5465
2024-10-19,68378.0,2648.2,159.79,597.7,0.544
2024-10-20,69031.99,2746.91,167.4,605.9,0.5482
2024-10-21,67377.5,2666.7,166.17,598.8,0.5449
2024-10-22,67426.0,2622.81,167.59,593.8,0.5339
2024-10-23,66668.65,2524.61,170.85,584.9,0.5258
2024-10-24,68198.28,2535.82,177.19,594.5,0.532
2024-10-25,66698.33,2440.62,164.9,575.3,0.5022
2024-10-26,67092.76,2482.51,170.88,583.4,0.5134
2024-10-27,68021.7,2507.8,176.63,589.2,0.5168
2024-10-28,69962.21,2567.48,178.29,601.1,0.5195
2024-10-29,72736.42,2638.8,179.42,606.3,0.5284
2024-10-30,72344.74,2659.19,174.87,595.6,0.5229
2024-10-31,70292.01,2518.61,168.69,576.6,0.5095
2024-11-01,69496.01,2511.49,166.1,573.1,0.5131
2024-11-02,69374.74,2494.23,166.17,568.6,0.5103
2024-11-03,68775.99,2457.73,162.53,557.7,0.503
2024-11-04,67850.01,2398.21,157.95,552.5,0.5035
2024-11-05,69372.01,2422.55,166.62,563.21,0.514
2024-11-06,75571.99,2721.87,186.59,592.22,0.5418
2024-11-07,75857.89,2895.47,196.35,598.26,0.5556
2024-11-08,76509.78,2961.75,199.85,597.82,0.5537
2024-11-09,76677.46,3126.21,199.89,624.66,0.5593
2024-11-10,80370.01,3183.21,210.07,627.33,0.5884
2024-11-11,88647.99,3371.59,222.13,659.63,0.6207
2024-11-12,87952.01,3243.8,211.64,625.33,0.704
2024-11-13,90375.2,3187.16,215.13,620.68,0.6898
2024-11-14,87325.59,3058.82,209.57,622.3,0.7736
2024-11-15,91032.07,3090.01,218.45,619.37,0.8922
2024-11-16,90586.92,3132.87,215.71,622.69,1.1209
2024-11-17,89855.99,3076.0,237.47,618.9,1.0543
2024-11-18,90464.08,3207.8,239.79,618.93,1.1137
2024-11-19,92310.79,3107.44,237.63,615.5,1.1003
2024-11-20,94286.56,3069.97,235.48,605.39,1.1041
2024-11-21,98317.12,3355.81,256.37,621.86,1.247
2024-11-22,98892.0,3327.78,256.9,633.0,1.4726
2024-11-23,97672.4,3393.91,254.89,650.42,1.4685
2024-11-24,97900.04,3361.2,252.73,659.65,1.4331
2024-11-25,93010.01,3414.49,234.18,636.2,1.4142
2024-11-26,91965.16,3324.73,230.69,613.51,1.3984
2024-11-27,95863.11,3653.28,241.96,644.14,1.4696
2024-11-28,95643.98,3578.79,237.59,653.83,1.5421
2024-11-29,97460.0,3592.21,243.33,654.67,1.8006
2024-11-30,96407.99,3703.6,237.6,653.43,1.9513
2024-12-01,97185.18,3707.61,236.8,655.99,2.2937
2024-12-02,95840.62,3643.42,225.72,647.82,2.7245
2024-12-03,95849.69,3614.51,233.92,734.64,2.5102
2024-12-04,98587.32,3837.8,229.15,739.53,2.3574
2024-12-05,96945.63,3785.2,235.84,717.1,2.2446
2024-12-06,99740.84,3998.87,236.87,730.22,2.4257
2024-12-07,99831.99,3996.22,238.14,749.72,2.6099
2024-12-08,101109.59,4004.15,237.02,742.0,2.6013
2024-12-09,97276.47,3712.0,216.63,689.19,2.2124
2024-12-10,96593.0,3628.25,213.6,676.8,2.3709
2024-12-11,101125.0,3831.81,227.29,711.21,2.3941
2024-12-12,100004.29,3881.61,226.96,705.77,2.3384
2024-12-13,101424.25,3906.8,224.79,725.72,2.4217
2024-12-14,101420.0,3870.29,219.93,715.79,2.4005
2024-12-15,104463.99,3959.09,224.27,718.87,2.4469
2024-12-16,106058.66,3986.24,216.19,720.58,2.4841
2024-12-17,106133.74,3893.01,223.15,717.69,2.5673
2024-12-18,100204.01,3626.8,206.53,686.38,2.3103
2024-12-19,97461.86,3417.01,193.81,665.62,2.239
2024-12-20,97805.44,3472.21,194.48,678.6,2.2793
2024-12-21,97291.99,3338.92,181.45,663.49,2.238
2024-12-22,95186.27,3281.83,180.52,649.77,2.2031
2024-12-23,94881.47,3422.53,190.11,694.16,2.2617
2024-12-24,98663.58,3493.18,197.09,696.9,2.3238
2024-12-25,99429.6,3497.0,197.44,702.72,2.2973
2024-12-26,95791.6,3335.05,188.46,689.4,2.1559
2024-12-27,94299.03,3333.51,184.22,691.85,2.1466
2024-12-28,95300.0,3404.0,195.5,722.13,2.1843
2024-12-29,93738.2,3356.48,189.94,694.71,2.0942
2024-12-30,92792.05,3361.84,191.38,705.36,2.0587
2024-12-31,93576.0,3337.78,189.31,702.3,2.0836
2025-01-01,94591.79,3360.38,194.28,707.84,2.3328
2025-01-02,96984.79,3455.67,208.31,706.25,2.4024
2025-01-03,98174.18,3609.01,217.99,714.88,2.4547
2025-01-04,98220.5,3656.88,216.67,713.41,2.4201
2025-01-05,98363.61,3635.99,213.41,709.29,2.3994
2025-01-06,102235.6,3687.45,218.22,729.42,2.42
2025-01-07,96954.61,3381.31,202.17,698.01,2.2712
2025-01-08,95060.61,3327.29,197.48,696.03,2.3731
2025-01-09,92552.49,3219.2,184.95,685.48,2.2722
2025-01-10,94726.11,3267.04,187.68,693.21,2.3414
2025-01-11,94599.99,3282.83,188.09,696.7,2.5764
2025-01-12,94545.06,3267.3,188.51,693.34,2.5046
2025-01-13,94536.1,3137.51,182.87,688.64,2.5232
2025-01-14,96560.86,3225.63,187.57,698.89,2.6673
2025-01-15,100497.35,3451.52,205.86,714.59,3.1429
2025-01-16,99987.3,3308.05,211.14,708.1,3.2451
2025-01-17,104077.48,3473.63,219.51,721.76,3.2922
2025-01-18,104556.23,3307.71,261.97,709.52,3.2697
2025-01-19,101331.57,3215.12,252.42,683.19,2.9587
2025-01-20,102260.01,3284.0,242.19,682.51,3.1053
2025-01-21,106143.82,3327.54,250.33,692.21,3.1738
2025-01-22,103706.66,3242.6,257.36,695.52,3.1803
2025-01-23,103910.34,3338.21,253.11,689.74,3.1194
2025-01-24,104870.5,3310.09,253.37,680.45,3.1009
2025-01-25,104746.85,3318.77,256.41,686.4,3.108
2025-01-26,102620.0,3232.61,240.5,667.37,3.0223
2025-01-27,102082.83,3182.44,234.89,679.74,3.0552
2025-01-28,101335.52,3077.72,227.06,661.29,3.0572
2025-01-29,103733.24,3113.9,228.16,667.97,3.0683
2025-01-30,104722.94,3247.39,238.31,677.53,3.1276
2025-01-31,102429.56,3300.99,231.77,677.47,3.0361
2025-02-01,100635.65,3117.54,213.03,652.94,2.8778
2025-02-02,97700.59,2869.68,203.51,617.8,2.58
2025-02-03,101328.52,2879.9,216.28,617.21,2.7001
2025-02-04,97763.13,2731.19,206.64,572.69,2.5274
2025-02-05,96612.43,2788.25,196.12,569.55,2.381
2025-02-06,96554.35,2686.64,189.54,571.72,2.325
2025-02-07,96506.8,2622.1,191.99,577.71,2.3968
2025-02-08,96444.74,2632.46,199.32,612.39,2.419
2025-02-09,96462.75,2627.18,200.47,615.81,2.3928
2025-02-10,97430.82,2661.19,200.47,618.65,2.4237
2025-02-11,95778.2,2602.59,197.96,642.11,2.4131
2025-02-12,97869.99,2738.27,196.78,696.93,2.4734
2025-02-13,96608.14,2675.87,194.25,664.72,2.5599
2025-02-14,97500.48,2725.95,199.39,659.71,2.7384
2025-02-15,97569.66,2693.04,194.48,662.21,2.7619
2025-02-16,96118.12,2661.41,188.27,673.1,2.7283
2025-02-17,95780.0,2744.05,177.53,667.51,2.6599
2025-02-18,95671.74,2671.99,169.32,648.18,2.5628
2025-02-19,96644.37,2715.5,168.93,653.38,2.7378
2025-02-20,98305.0,2738.04,176.0,656.36,2.6877
2025-02-21,96181.98,2663.0,168.94,647.47,2.5721
2025-02-22,96551.01,2763.22,172.07,668.57,2.574
2025-02-23,96258.0,2819.69,167.94,658.42,2.5763
2025-02-24,91552.88,2513.52,141.81,614.2,2.2783
2025-02-25,88680.4,2495.7,144.33,623.49,2.3222
2025-02-26,84250.09,2336.37,135.32,611.57,2.1982
2025-02-27,84708.58,2307.72,137.68,605.41,2.1985
2025-02-28,84349.94,2237.59,148.18,588.07,2.1453
2025-03-01,86064.53,2217.39,143.66,607.93,2.1916
2025-03-02,94270.0,2518.11,178.71,623.94,2.9396
2025-03-03,86220.61,2149.01,142.16,576.1,2.3873
2025-03-04,87281.98,2171.51,144.79,584.01,2.4543
2025-03-05,90606.01,2241.59,146.28,598.24,2.4998
2025-03-06,89931.89,2202.2,143.31,596.5,2.6001
2025-03-07,86801.75,2141.6,139.39,594.77,2.3855
2025-03-08,86222.45,2203.58,137.01,593.1,2.3261
2025-03-09,80734.37,2020.41,126.51,554.65,2.1387
2025-03-10,78595.86,1865.1,118.32,531.49,2.0216
