snapshot_id,mid_price,spread,true_is_spoof,bid_size_l0,bid_placed_l0,bid_canceled_l0,bid_executed_l0,bid_size_l1,bid_placed_l1,bid_canceled_l1,bid_executed_l1,bid_size_l2,bid_placed_l2,bid_canceled_l2,bid_executed_l2,bid_size_l3,bid_placed_l3,bid_canceled_l3,bid_executed_l3,bid_size_l4,bid_placed_l4,bid_canceled_l4,bid_executed_l4,ask_size_l0,ask_placed_l0,ask_canceled_l0,ask_executed_l0,ask_size_l1,ask_placed_l1,ask_canceled_l1,ask_executed_l1,ask_size_l2,ask_placed_l2,ask_canceled_l2,ask_executed_l2,ask_size_l3,ask_placed_l3,ask_canceled_l3,ask_executed_l3,ask_size_l4,ask_placed_l4,ask_canceled_l4,ask_executed_l4,bid_size,ask_size,total_bid_depth,total_ask_depth,order_book_imbalance,num_orders_placed,num_orders_canceled,num_orders_executed,cancel_to_trade_ratio,order_lifetime_ms,price_impact,spoofed_level_depth,top_size,rolling_avg_size,top_level_size_ratio,bid_cancel_ratio_l0,bid_cancel_ratio_l1,bid_cancel_ratio_l2,bid_cancel_ratio_l3,bid_cancel_ratio_l4,ask_cancel_ratio_l0,ask_cancel_ratio_l1,ask_cancel_ratio_l2,ask_cancel_ratio_l3,ask_cancel_ratio_l4,bid_size_velocity_l0,bid_size_velocity_l1,bid_size_velocity_l2,bid_size_velocity_l3,bid_size_velocity_l4,ask_size_velocity_l0,ask_size_velocity_l1,ask_size_velocity_l2,ask_size_velocity_l3,ask_size_velocity_l4,max_cancel_ratio_across_levels,max_size_velocity_across_levels,is_anomaly,anomaly_score
10,50008.682839960675,3.7574087546591923,false,14.613285999877904,15,8,7,2.2656012438424926,13,13,0,10.179979953090927,16,14,2,19.10695708193433,10,6,4,34.28066110048616,15,11,4,4.54908102562825,8,8,0,20.126055889425633,17,12,5,15.322519309185708,12,9,3,14.52732956974073,19,12,7,18.746980716422534,19,17,2,14.613285999877904,4.54908102562825,80.4464853792318,73.27196651040285,0.046673114259438736,144,110,34,3.142857142857143,827.4409503533647,0.4994254429846423,0,14.613285999877904,12.426887322385033,1.175940975464904,1.0,13.0,4.666666666666667,1.2,2.2,8.0,2.0,2.25,1.5,5.666666666666667,0.6499383567812757,-0.7209254722430963,-0.13916548395450504,-0.2622333609380218,0.02692669438949139,-0.3780297891875441,1.3139859500766695,0.9055531430310273,-1.6002466071828787,-0.06333259680862964,13.0,1.6002466071828787,false,0.4015291400548177
11,50004.46666958259,4.760655800454071,false,8.363131602500415,13,11,2,11.0430217513668,16,11,5,16.32549757017631,10,8,2,17.405159614352296,12,12,0,13.173173828802813,14,12,2,7.132485771164887,19,19,0,15.645711822068959,10,6,4,17.715202076124598,11,7,4,20.72481311039554,8,7,1,47.87107308523989,18,15,3,8.363131602500415,7.132485771164887,66.30998436719864,109.08928586499388,-0.2438966903406397,131,108,23,4.5,766.5821000720426,0.5573895900959123,0,8.363131602500415,12.088241012394649,0.6918402432517103,3.6666666666666665,1.8333333333333333,2.6666666666666665,12.0,4.0,19.0,1.2,1.4,3.5,3.75,-0.6743905634142338,2.0292503246328173,0.6436788937545806,-0.1762844283400907,-0.6751209592850673,0.3398118776464307,-0.6016818300633983,0.3532004774422771,0.590364118095137,0.780683183415251,19.0,2.0292503246328173,false,0.4338057728023078
12,49998.441864668086,4.2654785096020005,false,6.379632794146784,12,12,0,5.538907242936338,15,12,3,7.308382876989557,8,5,3,9.580973204465419,13,12,1,27.694898587374254,10,10,0,13.974351427327084,9,7,2,14.607978230680782,9,5,4,8.028961234964985,19,17,2,12.146175240374895,16,15,1,18.05513206153232,7,6,1,6.379632794146784,13.974351427327084,56.50279470591235,66.81259819488005,-0.08360516271688782,118,101,17,5.611111111111111,802.3296592706413,0.7143382214250338,0,13.974351427327084,12.233326428927912,1.1423182000835197,12.0,3.0,1.25,6.0,10.0,2.3333333333333335,1.0,5.666666666666667,7.5,3.0,-0.21336540807661353,-1.2116591087426114,-0.9334087805921498,-0.7879529589348386,0.46012940677219366,0.9412286580864488,-0.14006892447401506,-1.29417944886033,-0.8102615089112863,-0.7852709753265639,12.0,1.29417944886033,false,0.4179833592356064
13,49999.114148287284,5.07050109880708,false,9.351793533781542,16,11,5,5.92873913844786,11,11,0,10.996472638833009,15,13,2,16.532892093936255,18,13,5,11.625669717152986,11,11,0,6.242229554502229,13,7,6,10.829782134280972,12,12,0,31.00513979127487,7,4,3,11.772780780805553,19,17,2,10.532198041191856,19,18,1,9.351793533781542,6.242229554502229,54.43556712215165,70.38213030205549,-0.12775883155180812,141,117,24,4.68,992.0374377447151,0.7150233469531317,0,9.351793533781542,12.027502650703171,0.7775341070687524,1.8333333333333333,11.0,4.333333333333333,2.1666666666666665,11.0,1.0,12.0,1.0,5.666666666666667,9.0,0.3189248994377501,0.0884111399994598,0.3781369462305202,0.6906773292820313,-0.6736548542671945,-1.255111465291934,-0.5003336520486633,2.2348611010940633,-0.036144340460551344,-0.22996370996142337,12.0,2.2348611010940633,false,0.4681901366968133
14,49998.91017886307,3.441521675976724,false,3.294224653796844,18,18,0,14.76894419263626,14,12,2,20.45266379761356,8,4,4,22.06881107065968,14,13,1,45.89154402610183,14,13,1,10.972595658773391,10,5,5,11.671421003380214,19,14,5,8.907170811109982,10,6,4,11.504470735472259,9,8,1,14.658370092232369,14,11,3,3.294224653796844,10.972595658773391,106.47618774080817,57.71402830096821,0.2969857803672843,130,104,26,3.8518518518518516,866.55934543602,0.8714971556964667,0,10.972595658773391,11.957175517907853,0.9176578233162264,18.0,4.0,0.8,6.5,6.5,0.8333333333333334,2.3333333333333335,1.2,4.0,2.75,-0.636161006995582,1.6769399020089821,0.9254831657356375,0.5408315808439706,1.8086480955917283,0.7492617749988096,0.15072980974266198,-1.9168321487047975,-0.03193797840861117,0.13724122801089933,18.0,1.9168321487047975,false,0.4742075634401183
15,49996.63374165327,6.837823438911335,false,6.6142865747892925,9,6,3,5.945089207102123,8,4,4,6.162424026688056,11,8,3,17.32627800520152,9,7,2,15.471121372277903,10,7,3,4.17836298913742,12,9,3,13.124411926611755,10,5,5,19.86765195935902,17,10,7,29.999672837222313,7,6,1,25.788683722609143,9,9,0,6.6142865747892925,4.17836298913742,51.5191991860589,92.95878343493965,-0.28682283277436826,102,71,31,2.21875,752.7404225219373,0.6692589322760548,0,6.6142865747892925,11.623244958962944,0.5690567993827634,1.5,0.8,2.0,2.3333333333333335,1.75,2.25,0.8333333333333334,1.25,3.0,9.0,0.3676154940610596,-1.47790278246869,-1.6097477627043113,-0.4596827086196162,-1.421240570625188,-1.3344396673610481,0.3467962962253822,0.9050446497411405,1.7543261326910915,0.3674384127202252,9.0,1.7543261326910915,false,0.4353208387798329
16,49995.704449911806,4.660304067622706,false,7.431484566488734,9,9,0,24.353821885275604,7,4,3,18.54170259732411,7,6,1,26.319783888579693,17,11,6,25.59069755029794,15,11,4,17.540240010211292,17,11,6,10.035523845719485,16,9,7,13.879350348398969,7,7,0,44.66071966870912,14,12,2,25.091384967964483,11,10,1,7.431484566488734,17.540240010211292,102.23749048796608,111.20721884100335,-0.04202366215230366,120,90,30,2.903225806451613,730.3565147537099,0.758366297147083,0,17.540240010211292,11.971303491389317,1.4651904884733382,9.0,1.0,3.0,1.5714285714285714,2.2,1.5714285714285714,1.125,7.0,4.0,5.0,0.098357120189921,2.171598540905226,1.4415201793988268,0.9120332990238601,0.48943086030944016,2.049064070642624,-0.7172845934743021,-0.49034995575684726,1.340785964384148,-0.023306356618004963,9.0,2.171598540905226,false,0.4331008777083771
17,49993.839204270174,4.12452669161528,false,9.54112026987225,10,8,2,16.411056514704114,8,5,3,8.825864169511958,8,6,2,34.604347800856694,16,13,3,20.923335585407504,18,16,2,8.384983332395548,11,7,4,8.158891403935604,8,7,1,10.586595474295018,15,10,5,7.166312314321145,15,15,0,45.038302043561266,15,14,1,9.54112026987225,8.384983332395548,90.30572434035253,79.33508456850859,0.06466981525499486,124,101,23,4.208333333333333,773.9832978300731,0.49251221660477124,0,9.54112026987225,11.836293312416146,0.8060902191282905,2.6666666666666665,1.25,2.0,3.25,5.333333333333333,1.4,3.5,1.6666666666666667,15.0,7.0,0.41053664369678206,-0.8974972309885244,-1.1122023006899795,0.9551691678033607,-0.24554974678001798,-1.279859794795747,-0.4580449289603358,-0.27126519434179824,-2.329169836703875,0.6936766568905127,15.0,2.329169836703875,false,0.41186417939820663
18,49991.01975235795,5.430290232315158,false,5.071081159838169,18,16,2,24.998052708990226,12,6,6,32.36425905238397,19,18,1,89.09833229152709,13,11,2,20.481091635372096,13,11,2,8.493387820110398,16,9,7,3.7871779067517286,6,6,0,13.078943400283306,14,14,0,9.292672572399596,12,10,2,28.214908603407682,6,5,1,5.071081159838169,8.493387820110398,172.01281684811153,62.867090302952704,0.4646873709591565,129,106,23,4.416666666666667,837.7914737438575,0.4884743571011449,0,8.493387820110398,11.660350918084264,0.7283989889993652,5.333333333333333,0.8571428571428571,9.0,3.6666666666666665,3.6666666666666665,1.125,6.0,14.0,3.3333333333333335,2.5,-0.9932182763007249,0.9354793065837422,2.0532768704570317,3.0850790238973214,-0.023279233977290266,0.015252059834165499,-1.0264088882970464,0.20487413967957638,0.13272384338515905,-0.7585261910646285,14.0,3.0850790238973214,false,0.5288819191490404
19,49986.28988672467,3.0621128394044534,false,7.343682013279214,7,4,3,11.166123556016116,7,7,0,7.795504769463882,11,6,5,5.204188880634965,17,16,1,20.009838071297928,7,5,2,5.269794392884802,13,11,2,12.12113284230578,7,6,1,9.866108126445013,11,6,5,18.826652797660426,8,8,0,32.40165216115405,8,5,3,7.343682013279214,5.269794392884802,51.51933729069211,78.48534032045006,-0.20742332910832748,96,74,22,3.217391304347826,800.6822551785723,0.6920504268273655,0,7.343682013279214,11.444517472844012,0.6416768579981273,1.0,7.0,1.0,8.0,1.6666666666666667,3.6666666666666665,3.0,1.0,8.0,1.25,0.5319613752269344,-1.359889857807311,-1.7219092640952298,-2.479622835981012,-0.02530461954866416,-0.4497742124904165,1.6366358838030073,-0.26354423875478267,0.5795517660107546,0.24510729611305315,8.0,2.479622835981012,false,0.4356975211645423
20,49989.88064111608,6.794120110688583,false,14.610118783877198,10,6,4,10.587960174892407,6,6,0,12.370929025423541,11,9,2,18.234622417388053,8,8,0,28.65214790211265,11,10,1,11.824158067078395,11,5,6,12.749447622586727,7,5,2,15.928816276844636,17,17,0,7.679712208825712,17,12,5,17.190679524970427,19,16,3,14.610118783877198,11.824158067078395,84.45577830369385,65.3728137003059,0.127365306902694,117,94,23,3.9166666666666665,824.3865784422627,0.9113389919015275,0,14.610118783877198,11.595260392417021,1.2600078212501213,1.2,6.0,3.0,8.0,5.0,0.7142857142857143,1.6666666666666667,17.0,2.0,4.0,1.613149919876599,-0.05706251784475344,0.3189495476998615,0.38162587637963524,0.4575912665219612,0.8862666545588275,0.1623338135021352,0.4976308105248421,-0.6988031081988819,-0.852578080391198,17.0,1.613149919876599,false,0.4681128279580991
21,49989.87584148314,6.6120542653219,false,16.583980499148314,8,8,0,9.799185052938418,13,13,0,21.37854958504858,17,11,6,20.325470145456016,8,8,0,42.63851605340659,10,9,1,9.315548659995999,13,8,5,12.028728355667106,14,7,7,11.575598503083498,16,14,2,44.58951780687376,16,15,1,36.011192960217286,14,12,2,16.583980499148314,9.315548659995999,110.72570133599791,113.52058628583764,-0.012463461399873716,129,105,24,4.2,713.9818027657122,0.4336818883264206,0,16.583980499148314,11.822020397268444,1.402804253575823,8.0,13.0,1.5714285714285714,8.0,4.5,1.3333333333333333,0.875,4.666666666666667,7.5,4.0,0.49923956158214233,-0.08096041536316531,0.6210293084203447,0.061233191133709716,0.7823035507563172,-0.3376907057134429,-0.19786675271931967,-0.3560519460477248,1.8553843087344732,1.1629978921507989,13.0,1.8553843087344732,false,0.4365680080042177
22,49989.727634868075,4.906069595439508,false,6.0060270121714625,12,9,3,13.945323422772248,7,6,1,7.263070268564156,17,11,6,10.78107112250111,18,16,2,20.738717958772725,9,7,2,9.069473633627425,19,14,5,3.3534831777055816,16,10,6,24.386419055628007,13,10,3,13.96221788067375,15,15,0,36.717654536084524,17,17,0,6.0060270121714625,9.069473633627425,58.7342097847817,87.48924828371929,-0.19665133678801924,143,115,28,3.9655172413793105,771.7235624838585,0.4542278029545293,0,9.069473633627425,11.702344451023182,0.7750133891191731,2.25,3.0,1.5714285714285714,5.333333333333333,2.3333333333333335,2.3333333333333335,1.4285714285714286,2.5,15.0,17.0,-1.985728038111253,0.4306375282024728,-0.9436276882106045,-0.27911363019389085,-1.1564625515809033,-0.0348781278322304,-1.9279290798172912,1.0298537296447676,-1.3723244474272023,0.055702342550357775,17.0,1.985728038111253,false,0.42666269024254255
23,49991.47405073151,6.152888831058986,false,5.047223403475049,17,10,7,6.186020627169495,19,19,0,14.225456376264173,7,5,2,19.59422704526609,14,10,4,22.72750392291383,10,7,3,5.3538527391594135,11,5,6,20.546026630089184,9,5,4,12.007877084259778,12,12,0,35.156881566009815,11,10,1,27.723893150424956,19,14,5,5.047223403475049,5.3538527391594135,67.78043137508864,100.78853116994314,-0.19581362604659008,129,97,32,2.9393939393939394,674.2356534201,0.5036593360132964,0,5.3538527391594135,11.437823963028857,0.46808315606753376,1.25,19.0,1.6666666666666667,2.0,1.75,0.7142857142857143,1.0,12.0,5.0,2.3333333333333335,-0.183528341950703,-0.7753341761722937,0.46157860240638826,0.2573804939675286,0.10955841441605521,-0.5543439152265398,2.3873254965727506,-1.1692846133855068,0.9104362373108669,-0.7019982713541075,19.0,2.3873254965727506,false,0.49729136558498255
24,49991.75004004554,5.3875002557599965,false,3.672766416612811,15,14,1,7.4042942993819265,9,7,2,9.700541576505554,6,6,0,23.27994138450726,7,7,0,33.3636825089626,8,5,3,10.489361766082991,15,14,1,15.183581412192922,9,8,1,11.941152007679559,9,5,4,15.175443539920938,10,8,2,24.580971931004736,7,6,1,3.672766416612811,10.489361766082991,77.42122618597014,77.37051065688115,0.0003276371860887998,95,80,15,5.0,843.2744410681023,0.6300648187985766,0,10.489361766082991,11.399885475151022,0.9201286968143013,7.0,2.3333333333333335,6.0,7.0,1.25,7.0,4.0,1.0,2.6666666666666665,3.0,-0.28274678004380543,0.12768622579135144,-0.3059795521485843,0.10772113925142236,0.7317801973056867,0.7623699599439157,-0.7172840261590341,-0.008493105595048522,-0.8210770950991919,-0.24428083491206917,7.0,0.8210770950991919,false,0.4798095464916829
25,49991.074652222196,8.657011863401525,false,7.034150984983317,6,3,3,8.745750106136207,12,11,1,25.647120639863033,14,9,5,18.214389310490105,16,13,3,18.705787244046995,15,14,1,6.097488978484669,8,4,4,16.14214217599778,17,10,7,14.232324433900335,8,8,0,8.948372679821414,14,10,4,11.55080978672447,6,5,1,7.034150984983317,6.097488978484669,78.34719828551965,56.97113805492867,0.15796868930468377,116,87,29,2.9,780.2385448167267,0.6309707639369829,0,7.034150984983317,11.231972610144574,0.6262614083148815,0.75,5.5,1.5,3.25,7.0,0.8,1.25,8.0,2.0,2.5,0.6910450464010589,0.14715717817905352,1.0718964701885147,-0.14802646473301112,-1.266560155192112,-0.6748526924910142,0.12832864518657827,0.3282919663495498,-0.2646226853676902,-1.0009113471161755,8.0,1.266560155192112,false,0.4318727074339219
26,49995.57900709156,5.382375873473026,false,6.160810569500325,19,15,4,6.056781787359189,9,8,1,14.505425219999024,16,11,5,27.872948827769633,14,13,1,12.332334327992704,14,14,0,6.8861080171322,7,5,2,14.514751810749676,10,6,4,8.473491381360205,6,3,3,14.256553731942178,13,9,4,17.51945782449782,10,8,2,6.160810569500325,6.8861080171322,66.92830073262087,61.650362765682075,0.04104831877497665,118,92,26,3.4074074074074074,790.8791334701564,0.5612577757385055,0,6.8861080171322,11.071014662255225,0.6219943001800219,3.0,4.0,1.8333333333333333,6.5,14.0,1.6666666666666667,1.2,0.75,1.8,2.6666666666666665,-0.17956496600678387,-0.4119114316863263,-0.7475670841082906,0.2820803659689214,-0.5695299118718022,0.17061928825415762,-0.21962307935274264,-0.8274659419947561,0.23108548835053933,0.4511928871607751,14.0,0.8274659419947561,false,0.47094546728728026
27,49996.32278476952,7.330138581607108,false,5.786116064774928,17,16,1,5.008317117744745,6,3,3,26.119627013849886,19,17,2,26.88566352856171,12,8,4,18.395291289481598,7,6,1,4.214857503419779,10,7,3,6.711628890734837,12,6,6,29.257888948722265,17,16,1,13.940879916956234,12,10,2,9.940029017341665,16,13,3,5.786116064774928,4.214857503419779,82.19501501441286,64.06528427717478,0.12395524161409147,128,102,26,3.7777777777777777,759.54298129539,0.7847686913026025,0,5.786116064774928,10.882268283773787,0.5317012881774315,8.0,0.75,5.666666666666667,1.6,3.0,1.75,0.8571428571428571,8.0,3.3333333333333335,3.25,-0.07806573102637361,-0.17007752913471502,0.7769008914549329,-0.028934666056492066,0.5342727018496144,-0.7161904004592083,-0.9951737380061249,2.170683230920434,-0.0161678093983678,-0.680325415039433,8.0,2.170683230920434,false,0.44163897905970095
28,50000.11476641237,4.804633516054965,false,8.593321839041895,10,8,2,9.784851862880945,13,7,6,14.138702444622178,18,12,6,17.15971246330114,13,12,1,33.022716956498705,19,14,5,8.904227457756418,18,14,4,22.424177893793004,18,15,3,4.54897293996779,9,7,2,20.605065167343152,19,14,5,37.059257282129614,6,4,2,8.593321839041895,8.904227457756418,82.69930556634486,93.54170074098997,-0.0615202750019356,143,107,36,2.891891891891892,837.310717298075,0.5404786672509998,0,8.904227457756418,10.814059979428361,0.8233935704716798,2.6666666666666665,1.0,1.7142857142857142,6.0,2.3333333333333335,2.8,3.75,2.3333333333333335,2.3333333333333335,1.3333333333333333,0.6024587797063088,0.8548924479879134,-0.8992615461795782,-0.34647894255820194,1.190940926671711,1.1528776218596775,1.7251675446299912,-1.9419562670263137,0.3397533093381979,1.982055344663963,6.0,1.982055344663963,false,0.4053577264263569
